Year,Quarter,Date,Ticker
2015,2,2015-06-30,NOC
2015,2,2015-06-30,NOV
2015,2,2015-06-30,NRG
2015,2,2015-06-30,NSC
2015,2,2015-06-30,NTAP
2015,2,2015-06-30,NTRS
2015,2,2015-06-30,NUE
2015,2,2015-06-30,NVDA
2015,2,2015-06-30,NWL
2015,2,2015-06-30,NWSA
2015,2,2015-06-30,O
2015,2,2015-06-30,OI
2015,2,2015-06-30,OKE
2015,2,2015-06-30,OMC
2015,2,2015-06-30,ORCL
2015,2,2015-06-30,ORLY
2015,2,2015-06-30,OXY
2015,2,2015-06-30,PAYX
2015,2,2015-06-30,PBCT
2015,2,2015-06-30,PBI
2015,2,2015-06-30,PCAR
2015,2,2015-06-30,PCG
2015,2,2015-06-30,PCL
2015,2,2015-06-30,PCP
2015,2,2015-06-30,PDCO
2015,2,2015-06-30,PEG
2015,2,2015-06-30,PEP
2015,2,2015-06-30,PFE
2015,2,2015-06-30,PFG
2015,2,2015-06-30,PG
2015,2,2015-06-30,PGR
2015,2,2015-06-30,PH
2015,2,2015-06-30,PHM
2015,2,2015-06-30,PKI
2015,2,2015-06-30,PLD
2015,2,2015-06-30,PLL
2015,2,2015-06-30,PM
2015,2,2015-06-30,PNC
2015,2,2015-06-30,PNR
2015,2,2015-06-30,PNW
2015,2,2015-06-30,POM
